<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.12	08:00:00	3278.94	3281.54	3216.05	3231.31	68778	0	18
2025.05.12	12:00:00	3231.33	3234.23	3207.70	3233.71	55435	0	18
2025.05.12	16:00:00	3233.71	3248.63	3223.12	3224.11	75408	0	18
2025.05.12	20:00:00	3224.12	3238.75	3220.23	3234.29	33397	0	18
2025.05.13	00:00:00	3239.47	3243.14	3229.74	3239.68	13580	0	18
2025.05.13	04:00:00	3239.69	3253.29	3215.70	3252.44	37138	0	18
2025.05.13	08:00:00	3252.44	3265.41	3247.27	3255.62	36078	0	18
2025.05.13	12:00:00	3255.56	3258.54	3237.31	3242.06	38907	0	18
2025.05.13	16:00:00	3241.90	3257.76	3225.46	3250.95	64639	0	18
2025.05.13	20:00:00	3250.95	3254.67	3242.04	3250.05	24720	0	18
2025.05.14	00:00:00	3251.96	3256.97	3241.10	3244.21	12158	0	18
2025.05.14	04:00:00	3244.23	3251.63	3222.68	3223.86	32942	0	18
2025.05.14	08:00:00	3223.87	3243.73	3221.54	3232.58	38055	0	18
2025.05.14	12:00:00	3232.56	3239.13	3184.17	3184.77	48082	0	18
2025.05.14	16:00:00	3184.77	3198.25	3173.69	3188.41	74229	0	18
2025.05.14	20:00:00	3188.41	3190.39	3168.04	3177.93	30540	0	18
2025.05.15	00:00:00	3178.57	3187.66	3176.97	3187.57	11313	0	18
2025.05.15	04:00:00	3187.57	3192.65	3135.38	3138.50	37638	0	18
2025.05.15	08:00:00	3138.63	3164.27	3120.64	3162.41	46428	0	18
2025.05.15	12:00:00	3162.40	3189.81	3159.27	3188.80	38137	0	18
2025.05.15	16:00:00	3188.80	3222.74	3185.19	3222.53	59646	0	18
2025.05.15	20:00:00	3222.55	3240.43	3216.37	3240.30	27090	0	18
2025.05.16	00:00:00	3239.47	3252.07	3231.85	3243.05	21196	0	18
2025.05.16	04:00:00	3243.07	3244.50	3206.52	3219.38	36176	0	18
2025.05.16	08:00:00	3219.35	3231.04	3195.45	3207.51	35227	0	18
2025.05.16	12:00:00	3207.35	3212.91	3154.02	3177.39	44795	0	18
2025.05.16	16:00:00	3177.38	3189.73	3165.75	3189.27	51662	0	18
2025.05.16	20:00:00	3189.30	3202.74	3183.49	3201.89	22276	0	18
2025.05.19	00:00:00	3211.96	3249.69	3205.06	3246.30	26371	0	18
2025.05.19	04:00:00	3246.24	3246.65	3206.44	3215.76	37893	0	18
2025.05.19	08:00:00	3215.77	3244.86	3214.91	3244.45	31663	0	18
2025.05.19	12:00:00	3244.47	3248.56	3228.82	3229.24	26599	0	18
2025.05.19	16:00:00	3229.24	3241.45	3217.13	3231.70	48240	0	18
